strain	clade	q40ps	q40l	q40het	fps	fl	fhet	fdps	fdl	fdhet	lohl
CEC5023	13	35625	14122163	0.00252263056303769	28033	8492673	0.00330084532867332	28017	8488730	0.00330049371342945	5500000
CEC4487	2	68930	14177938	0.00486177891312545	55476	10472885	0.00529710772151131	55147	10456125	0.00527413358199142	1700000
CEC3602	4	81365	14160363	0.00574596851789746	68465	11058621	0.00619109742525763	68150	11018492	0.0061850569025235	1100000
CEC3675	4	85271	14199798	0.00600508542445463	72069	11277532	0.00639049394849866	71462	11237429	0.00635928378279409	900000
CEC4480	1	74301	14232302	0.0052205890515814	58798	10347902	0.00568211797908407	58221	10281316	0.00566279647469254	1900000
CEC2023	8	84522	14220175	0.00594380870840197	68653	11009968	0.00623553129309731	67736	10962008	0.00617915987654817	1200000
CEC2020	1	74713	14237278	0.00524770254538824	60093	10379464	0.0057896053206601	59881	10356019	0.00578224122609277	1900000
CEC3671	NC	81568	14199231	0.00574453644707942	66975	10303239	0.00650038303488835	66494	10264378	0.00647813243043076	2000000
CEC4479	1	75584	14236896	0.00530902241612217	60292	10454806	0.00576691714796047	59965	10417720	0.00575605794742036	1900000
CEC4944	13	35493	14110700	0.00251532524963326	27850	8491003	0.00327994231070228	27825	8486320	0.00327880636129677	5500000
CEC3636	1	65098	14231538	0.00457420694797709	51395	8692934	0.00591227311745378	50996	8616404	0.00591847828862249	3800000
CEC3556	4	74943	14177291	0.0052861297690793	61467	9881441	0.00622044902155465	60897	9844541	0.0061858648361564	2300000
CEC3615	2	66573	14173908	0.00469686976943832	55214	9893098	0.00558106267622134	54935	9873014	0.00556415700413268	2900000
CEC3557	3	82543	14186843	0.0058182782455547	67306	11173561	0.00602368394462607	66608	11131695	0.00598363501694935	1000000
CEC4107	1	67198	14228847	0.00472265953804971	51637	8121874	0.00635776915524668	51380	8080772	0.00635830338982464	4200000
CEC3597	3	74651	14195077	0.00525893589728326	59145	9790791	0.00604088066020406	58549	9720992	0.00602294498339264	2400000
