Pedro Almeida							
22/06/2015							
Strain	Project	EBI Sample	Experiment	Run 1	Notes on Run 1	Run 2	Notes on Run 2
ZP862	PRJEB7601	ERS652347	ERX691590	ERR747908	hiseq121016		
ZP861	PRJEB7601	ERS652348	ERX691591	ERR747909	hiseq121016		
ZP641	PRJEB7601	ERS652350	ERX691592	ERR747910	hiseq121016		
HUN9.1s1	PRJEB7601	ERS652352	ERX691593	ERR747911	hiseq121016		
ZP541	PRJEB7601	ERS652354	ERX691594	ERR747912	hiseq121016		
ZP742	PRJEB7601	ERS652355	ERX691595	ERR747913	ZP742_121016_A		
ZP742	PRJEB7601	ERS652355	ERX991366	ERR912236	ZP742_2_121016_A		
ZP860	PRJEB7601	ERS652357	ERX691596	ERR747914	hiseq121016		
ZP850	PRJEB7601	ERS652358	ERX691597	ERR747915	hiseq121016		
ZP570	PRJEB7601	ERS652360	ERX691598	ERR747916	hiseq121016		
ZP563	PRJEB7601	ERS652366	ERX691599	ERR747917	hiseq121016		
ZP564	PRJEB7601	ERS652368	ERX691600	ERR747918	hiseq121016		
ZP566	PRJEB7601	ERS652369	ERX691601	ERR747919	hiseq121016		
ZP575	PRJEB7601	ERS652371	ERX691602	ERR747920	hiseq121016		
ZP590	PRJEB7601	ERS652372	ERX691603	ERR747921	hiseq121016		
ZP530	PRJEB7601	ERS652379	ERX691604	ERR747922	hiseq121016		
ZP651	PRJEB7601	ERS652383	ERX691605	ERR747923	hiseq121016		
ZP652	PRJEB7601	ERS652384	ERX691606	ERR747924	hiseq121016		
DBQ22	PRJEB7601	ERS652373	ERX691607	ERR747925	hiseq121016		
DBS11	PRJEB7601	ERS652408	ERX691608	ERR747926	hiseq121016		
DBS12	PRJEB7601	ERS652409	ERX691609	ERR747927	hiseq121016		
MIX1	PRJEB7601	ERS747479	ERX991361	ERR912231	hiseq121016		
MIX2	PRJEB7601	ERS747480	ERX991362	ERR912232	hiseq121016		
S288C	PRJEB7601	ERS653366	ERX698255	ERR754623	S288C_130211_C		
S288C	PRJEB7601	ERS653366	ERX692861	ERR749179	S288C_130211_B	ERR915337	hiseq130312
S288C	PRJEB7601	ERS653366	ERX692862	ERR749180	S288C_121016_A		
ZP578	PRJEB7601	ERS652344	ERX696611	ERR752929	hiseq130211_batchB	ERR915344	hiseq130312
ZP577	PRJEB7601	ERS652345	ERX696612	ERR752930	hiseq130211_batchB	ERR915343	hiseq130312
ZP579	PRJEB7601	ERS652346	ERX696613	ERR752931	hiseq130211_batchB	ERR915345	hiseq130312
DBQ26	PRJEB7601	ERS652351	ERX696614	ERR752932	hiseq130211_batchB	ERR915336	hiseq130312
ZP736	PRJEB7601	ERS652356	ERX696615	ERR752933	hiseq130211_batchB	ERR915358	hiseq130312
ZP562	PRJEB7601	ERS652359	ERX696616	ERR752934	hiseq130211_batchB	ERR915340	hiseq130312
ZP633	PRJEB7601	ERS652361	ERX696617	ERR752935	hiseq130211_batchB	ERR915346	hiseq130312
ZP636	PRJEB7601	ERS652362	ERX696618	ERR752936	hiseq130211_batchB	ERR915347	hiseq130312
ZP560	PRJEB7601	ERS652363	ERX696619	ERR752937	hiseq130211_batchB	ERR915338	hiseq130312
ZP568	PRJEB7601	ERS652364	ERX696620	ERR752938	hiseq130211_batchB	ERR915342	hiseq130312
ZP565	PRJEB7601	ERS652365	ERX696621	ERR752939	hiseq130211_batchB	ERR915341	hiseq130312
ZP561	PRJEB7601	ERS652367	ERX696622	ERR752940	hiseq130211_batchB	ERR915339	hiseq130312
ZP656	PRJEB7601	ERS652380	ERX696623	ERR752941	hiseq130211_batchB	ERR915353	hiseq130312
ZP653	PRJEB7601	ERS652381	ERX696624	ERR752942	hiseq130211_batchB	ERR915350	hiseq130312
