experiment	death	status	treatment
exp1	12	1	NaCl
exp1	12	1	NaCl
exp1	12	1	NaCl
exp1	24	1	NaCl
exp1	24	1	NaCl
exp1	24	1	NaCl
exp1	24	1	NaCl
exp1	24	1	NaCl
exp1	24	1	NaCl
exp1	36	1	NaCl
exp1	48	1	NaCl
exp1	48	1	NaCl
exp1	48	1	NaCl
exp1	60	1	NaCl
exp1	96	0	NaCl
exp1	12	1	Zn
exp1	24	1	Zn
exp1	24	1	Zn
exp1	24	1	Zn
exp1	36	1	Zn
exp1	36	1	Zn
exp1	48	1	Zn
exp1	48	1	Zn
exp1	48	1	Zn
exp1	48	1	Zn
exp1	48	1	Zn
exp1	48	1	Zn
exp1	60	1	Zn
exp1	60	1	Zn
exp1	96	0	Zn
exp1	12	1	Fe
exp1	12	1	Fe
exp1	24	1	Fe
exp1	24	1	Fe
exp1	24	1	Fe
exp1	24	1	Fe
exp1	24	1	Fe
exp1	36	1	Fe
exp1	36	1	Fe
exp1	36	1	Fe
exp1	48	1	Fe
exp1	48	1	Fe
exp1	60	1	Fe
exp1	84	1	Fe
exp1	96	0	Fe
exp1	12	1	50
exp1	12	1	50
exp1	12	1	50
exp1	12	1	50
exp1	12	1	50
exp1	12	1	50
exp1	12	1	50
exp1	12	1	50
exp1	12	1	50
exp1	12	1	50
exp1	12	1	50
exp1	24	1	50
exp1	24	1	50
exp1	24	1	50
exp1	36	1	50
exp1	12	1	MM
exp1	12	1	MM
exp1	24	1	MM
exp1	24	1	MM
exp1	24	1	MM
exp1	24	1	MM
exp1	24	1	MM
exp1	24	1	MM
exp1	24	1	MM
exp1	24	1	MM
exp1	48	1	MM
exp1	48	1	MM
exp1	48	1	MM
exp1	48	1	MM
exp1	96	0	MM
exp1	96	0	PBS
exp1	96	0	PBS
exp1	96	0	PBS
exp1	96	0	PBS
exp1	96	0	PBS
exp1	96	0	PBS
exp1	96	0	PBS
exp1	96	0	PBS
exp1	96	0	PBS
exp1	96	0	PBS
exp1	96	0	PBS
exp1	96	0	PBS
exp1	96	0	PBS
exp1	96	0	PBS
exp1	96	0	PBS
exp1	12	1	37
exp1	96	0	37
exp1	96	0	37
exp1	96	0	37
exp1	96	0	37
exp1	96	0	37
exp1	96	0	37
exp1	96	0	37
exp1	96	0	37
exp1	96	0	37
exp1	96	0	37
exp1	96	0	37
exp1	96	0	37
exp1	96	0	37
exp1	96	0	37
exp4	12	1	NaCl
exp4	12	1	NaCl
exp4	24	1	NaCl
exp4	24	1	NaCl
exp4	24	1	NaCl
exp4	24	1	NaCl
exp4	36	1	NaCl
exp4	36	1	NaCl
exp4	36	1	NaCl
exp4	36	1	NaCl
exp4	36	1	NaCl
exp4	48	1	NaCl
exp4	48	1	NaCl
exp4	48	1	NaCl
exp4	72	0	NaCl
exp4	12	1	Zn
exp4	24	1	Zn
exp4	24	1	Zn
exp4	24	1	Zn
exp4	36	1	Zn
exp4	36	1	Zn
exp4	36	1	Zn
exp4	36	1	Zn
exp4	36	1	Zn
exp4	36	1	Zn
exp4	48	1	Zn
exp4	48	1	Zn
exp4	48	1	Zn
exp4	48	1	Zn
exp4	72	0	Zn
exp4	24	1	Fe
exp4	24	1	Fe
exp4	24	1	Fe
exp4	24	1	Fe
exp4	24	1	Fe
exp4	24	1	Fe
exp4	24	1	Fe
exp4	24	1	Fe
exp4	24	1	Fe
exp4	24	1	Fe
exp4	24	1	Fe
exp4	36	1	Fe
exp4	36	1	Fe
exp4	36	1	Fe
exp4	36	1	Fe
exp4	24	1	50
exp4	24	1	50
exp4	24	1	50
exp4	36	1	50
exp4	36	1	50
exp4	36	1	50
exp4	36	1	50
exp4	36	1	50
exp4	36	1	50
exp4	36	1	50
exp4	36	1	50
exp4	36	1	50
exp4	72	0	50
exp4	72	0	50
exp4	72	0	50
exp4	24	1	MM
exp4	24	1	MM
exp4	24	1	MM
exp4	24	1	MM
exp4	24	1	MM
exp4	24	1	MM
exp4	24	1	MM
exp4	24	1	MM
exp4	24	1	MM
exp4	24	1	MM
exp4	36	1	MM
exp4	36	1	MM
exp4	48	1	MM
exp4	48	1	MM
exp4	72	0	MM
exp4	12	1	PBS
exp4	72	0	PBS
exp4	72	0	PBS
exp4	72	0	PBS
exp4	72	0	PBS
exp4	72	0	PBS
exp4	72	0	PBS
exp4	72	0	PBS
exp4	72	0	PBS
exp4	72	0	PBS
exp4	72	0	PBS
exp4	72	0	PBS
exp4	72	0	PBS
exp4	72	0	PBS
exp4	72	0	PBS
exp4	12	1	37
exp4	72	0	37
exp4	72	0	37
exp4	72	0	37
exp4	72	0	37
exp4	72	0	37
exp4	72	0	37
exp4	72	0	37
exp4	72	0	37
exp4	72	0	37
exp4	72	0	37
exp4	72	0	37
exp4	72	0	37
exp4	72	0	37
exp4	72	0	37
exp5	12	1	NaCl
exp5	12	1	NaCl
exp5	24	1	NaCl
exp5	24	1	NaCl
exp5	36	1	NaCl
exp5	36	1	NaCl
exp5	36	1	NaCl
exp5	36	1	NaCl
exp5	48	1	NaCl
exp5	60	1	NaCl
exp5	72	0	NaCl
exp5	72	0	NaCl
exp5	72	0	NaCl
exp5	72	0	NaCl
exp5	72	0	NaCl
exp5	12	1	Zn
exp5	24	1	Zn
exp5	24	1	Zn
exp5	24	1	Zn
exp5	24	1	Zn
exp5	36	1	Zn
exp5	36	1	Zn
exp5	36	1	Zn
exp5	48	1	Zn
exp5	48	1	Zn
exp5	48	1	Zn
exp5	48	1	Zn
exp5	48	1	Zn
exp5	72	0	Zn
exp5	72	0	Zn
exp5	24	1	Fe
exp5	24	1	Fe
exp5	24	1	Fe
exp5	24	1	Fe
exp5	36	1	Fe
exp5	48	1	Fe
exp5	48	1	Fe
exp5	48	1	Fe
exp5	48	1	Fe
exp5	48	1	Fe
exp5	48	1	Fe
exp5	60	1	Fe
exp5	60	1	Fe
exp5	72	0	Fe
exp5	72	0	Fe
exp5	12	1	50
exp5	12	1	50
exp5	12	1	50
exp5	12	1	50
exp5	24	1	50
exp5	24	1	50
exp5	24	1	50
exp5	24	1	50
exp5	24	1	50
exp5	24	1	50
exp5	24	1	50
exp5	24	1	50
exp5	24	1	50
exp5	24	1	50
exp5	24	1	50
exp5	12	1	MM
exp5	12	1	MM
exp5	24	1	MM
exp5	24	1	MM
exp5	24	1	MM
exp5	24	1	MM
exp5	24	1	MM
exp5	24	1	MM
exp5	24	1	MM
exp5	24	1	MM
exp5	24	1	MM
exp5	24	1	MM
