Isolate name	Standardized name	Isolation	Ecological origins	wine_eco	Geographical origins	HO deletion	SSD1_allele	Ploidy	Aneuploidies	Aneuploidy_type	Zygosity	Mean coverage	Clades	Collection / Provider	Reference	heterozygosity	basename	ssd1geno	ssd1het	chr1only
#03	BCS	Evolution canyon	Nature	Nature	Israel	no	B	2	euploid	Euploid	heterozygous	229	8. Mixed origin	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16	0.000821943	3	AB	het	FALSE
#05	BCT	Evolution canyon	Nature	Nature	Israel	no	B	2	euploid	Euploid	heterozygous	248	8. Mixed origin	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16	0.002984719	5	AB	het	FALSE
#13	BDD	Evolution canyon	Nature	Nature	Israel	no	A	2	euploid	Euploid	heterozygous	223	M. Mosaic	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16	0.001449365	13	AA	hom	FALSE
#14	BDE	Evolution canyon	Nature	Nature	Israel	no	A	3	aneu;-1*3;	Loss	heterozygous	203	M. Mosaic	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16	0.001709888	14	AA	hom	FALSE
#23	BCR	Evolution canyon	Nature	Nature	Israel	no	B	4	aneu;+1*8;	Gain	heterozygous	215	8. Mixed origin	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16	0.005392059	23	AB	het	FALSE
#33	BCV	Evolution canyon	Nature	Nature	Israel	no	A	2	euploid	Euploid	heterozygous	219	M. Mosaic	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16	0.001165982	33	AA	hom	FALSE
#34	BDA	Evolution canyon	Nature	Nature	Israel	no	A	2	aneu;+1*1;	1only	heterozygous	200	M. Mosaic	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16	0.001581201	34	AA	hom	TRUE
#35	BDB	Evolution canyon	Nature	Nature	Israel	no	A	2	euploid	Euploid	heterozygous	215	M. Mosaic	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16	0.001116898	35	AA	hom	FALSE
#36	BDC	Evolution canyon	Nature	Nature	Israel	no	A	2	aneu;+1*1;	1only	heterozygous	239	M. Mosaic	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16	0.002679167	36	AA	hom	TRUE
#57	BDF	Evolution canyon	Nature	Nature	Israel	no	A	2	aneu;+1*1;	1only	heterozygous	227	M. Mosaic	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16	0.00240941	57	AA	hom	TRUE
#58	BDG	Evolution canyon	Nature	Nature	Israel	no	A	2	aneu;+1*1;	1only	heterozygous	229	M. Mosaic	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16	0.002451391	58	AA	hom	TRUE
#59	BDH	Evolution canyon	Nature	Nature	Israel	no	A	2	euploid	Euploid	heterozygous	217	M. Mosaic	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16	0.001470046	59	AA	hom	FALSE
#60	BDI	Evolution canyon	Nature	Nature	Israel	no	A	2	aneu;+1*1;	1only	heterozygous	233	M. Mosaic	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16	0.001460665	60	AA	hom	TRUE
#63	BDK	Evolution canyon	Nature	Nature	Israel	no	B	2	aneu;+1*1;	1only	homozygous	219	M. Mosaic	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16	0.000290725	63	BB	hom	TRUE
1	CBK	Chalcidoidea	Insect	Insect	Schleswig-Holstein	no	A	1	euploid	Euploid	homozygous	233	M. Mosaic	Max Planck Institute for Evolutionary Biology (Duncan Greig)	Peter	0.000257413	1	AA	hom	FALSE
1-9	CBB	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	heterozygous	226	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.00054677	1_9	AA	het	FALSE
1.3_Safale_US05	CFD	"Carlsberg Beer, American Ale yeast"	Beer	Beer	USA	no	B	4	aneu;-1*1;-1*5;+1*6;-1*12;	Both	heterozygous	190	11. Ale beer	Carlsberg	Peter	0.003141269	WLP001	AB	het	FALSE
1.6_Safale_S40	CFG	Carlsberg Beer	Beer	Beer	UK	no	A	4	aneu;-1*6;	Loss	heterozygous	276	11. Ale beer	Carlsberg	Peter	0.004503394	Safale_S40	AA	het	FALSE
11-18	CAD	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	heterozygous	269	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000519357	11_18	AA	hom	FALSE
11-2	CAP	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	heterozygous	272	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000384552	11_2	AA	hom	FALSE
11-8	CAB	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	heterozygous	265	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000533473	11_8	AA	hom	FALSE
1175	CPD	Spoiled beer	Beer	Beer	NA	no	A	2	aneu;+1*8;	Gain	heterozygous	230	7. Mosaic beer	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.00088597	1175	AA	hom	FALSE
1216	CPE	Unknown	Unknown	Unknown	"El Sauzal, Tenerife, Spain"	no	A	2	aneu;+1*1;	1only	homozygous	244	1. Wine/European	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.000200133	1216	AA	hom	TRUE
1235	CPF	Unknown	Unknown	Unknown	"Guimar, Tenerife, Spain"	no	A	2	aneu;+1*2;+1*4;+1*8;+1*9;+1*13;+1*15;	Gain	heterozygous	316	1. Wine/European	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.000689793	1235	AA	hom	FALSE
1560	CPG	"Manzanilla-Alorena, olive (Noe), 2003"	Nature	Nature	"Aceituna, Spain"	no	A	2	euploid	Euploid	homozygous	271	2. Alpechin	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.000354692	1560	AA	hom	FALSE
1663	BBP	Flower of Centaurea alba	Flower	Flower	Spain	no	A	2	euploid	Euploid	heterozygous	207	8. Mixed origin	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.003225792	1663	AA	het	FALSE
